version,id,step,world_index,phase,N,history_length,known_count,rejected
v2,32,6,1,early,16,111,8,0
v1,820,0,0,early,12,0,0,0
v1,820,0,1,early,12,0,0,0
v2,820,0,0,early,12,0,0,0
v2,820,0,1,early,12,0,0,0
v1,271,3,0,early,16,59,7,0
v1,271,3,1,early,16,59,7,0
v2,271,3,0,early,16,59,7,0
v2,271,3,1,early,16,59,7,0
v1,64,3,0,early,16,62,10,0
v1,64,3,1,early,16,62,10,0
v2,64,3,0,early,16,62,10,0
v2,64,3,1,early,16,62,10,0
v1,808,3,0,early,12,63,7,1
v1,808,3,1,early,12,63,7,0
v2,808,3,0,early,12,63,7,0
v2,808,3,1,early,12,63,7,0
v1,802,3,0,early,12,62,7,0
v1,802,3,1,early,12,62,7,0
v2,802,3,0,early,12,62,7,0
v2,802,3,1,early,12,62,7,0
v1,826,5,0,early,12,97,9,0
v1,826,5,1,early,12,97,9,1
v2,826,5,0,early,12,97,9,0
v2,826,5,1,early,12,97,9,0
v1,600,1,0,early,14,20,7,0
v1,600,1,1,early,14,20,7,0
v2,600,1,0,early,14,20,7,0
v2,600,1,1,early,14,20,7,0
v1,354,3,0,early,16,62,10,0
v1,354,3,1,early,16,62,10,0
v2,354,3,0,early,16,62,10,0
v2,354,3,1,early,16,62,10,0
v1,136,5,0,early,16,97,8,0
v1,136,5,1,early,16,97,8,0
v2,136,5,0,early,16,97,8,0
v2,136,5,1,early,16,97,8,0
v1,52,4,0,early,16,79,5,0
v1,52,4,1,early,16,79,5,0
v2,52,4,0,early,16,79,5,0
v2,52,4,1,early,16,79,5,0
v1,758,0,0,early,10,0,0,0
v1,758,0,1,early,10,0,0,0
v2,758,0,0,early,10,0,0,0
v2,758,0,1,early,10,0,0,0
v1,538,4,0,early,12,75,5,1
v1,538,4,1,early,12,75,5,0
v2,538,4,0,early,12,75,5,0
v2,538,4,1,early,12,75,5,0
v1,716,2,0,early,10,41,3,0
v1,716,2,1,early,10,41,3,0
v2,716,2,0,early,10,41,3,0
v2,716,2,1,early,10,41,3,0
v1,978,4,0,early,14,81,10,0
v1,978,4,1,early,14,81,10,0
v2,978,4,0,early,14,81,10,0
v2,978,4,1,early,14,81,10,0
v1,571,2,0,early,15,42,7,1
v1,571,2,1,early,15,42,7,0
v2,571,2,0,early,15,42,7,0
v2,571,2,1,early,15,42,7,0
v1,320,4,0,early,16,81,13,0
v1,320,4,1,early,16,81,13,0
v2,320,4,0,early,16,81,13,0
v2,320,4,1,early,16,81,13,0
v1,212,0,0,early,16,0,0,0
v1,212,0,1,early,16,0,0,0
v2,212,0,0,early,16,0,0,0
v2,212,0,1,early,16,0,0,0
v1,89,2,0,early,16,45,8,0
v1,89,2,1,early,16,45,8,0
v2,89,2,0,early,16,45,8,0
v2,89,2,1,early,16,45,8,0
v1,283,7,0,early,16,125,12,0
v1,283,7,1,early,16,125,12,0
v2,283,7,0,early,16,125,12,0
v2,283,7,1,early,16,125,12,0
v1,543,5,0,early,11,97,7,0
v1,543,5,1,early,11,97,7,0
v2,543,5,0,early,11,97,7,0
v2,543,5,1,early,11,97,7,0
v1,334,4,0,early,16,78,10,0
v1,334,4,1,early,16,78,10,0
v2,334,4,0,early,16,78,10,0
v2,334,4,1,early,16,78,10,0
v1,369,1,0,early,16,20,8,0
v1,369,1,1,early,16,20,8,0
v2,369,1,0,early,16,20,8,0
v2,369,1,1,early,16,20,8,0
v1,563,8,0,early,13,149,8,0
v1,563,8,1,early,13,149,8,0
v2,563,8,0,early,13,149,8,0
v2,563,8,1,early,13,149,8,0
v1,799,4,0,early,15,77,13,1
v1,799,4,1,early,15,77,13,0
v2,799,4,0,early,15,77,13,0
v2,799,4,1,early,15,77,13,0
v1,576,8,0,early,14,147,6,0
v1,576,8,1,early,14,147,6,0
v2,576,8,0,early,14,147,6,0
v2,576,8,1,early,14,147,6,0
v1,662,0,0,early,10,0,0,0
v1,662,0,1,early,10,0,0,0
v2,662,0,0,early,10,0,0,0
v2,662,0,1,early,10,0,0,0
v1,604,7,0,early,12,133,11,0
v1,604,7,1,early,12,133,11,0
v2,604,7,0,early,12,133,11,0
v2,604,7,1,early,12,133,11,0
v1,716,3,0,early,10,61,4,0
v1,716,3,1,early,10,61,4,0
v2,716,3,0,early,10,61,4,0
v2,716,3,1,early,10,61,4,0
v1,587,2,0,early,13,45,8,0
v1,587,2,1,early,13,45,8,0
v2,587,2,0,early,13,45,8,0
v2,587,2,1,early,13,45,8,0
v1,454,2,0,early,16,42,5,0
v1,454,2,1,early,16,42,5,1
v2,454,2,0,early,16,42,5,0
v2,454,2,1,early,16,42,5,0
v1,34,5,0,early,16,91,10,0
v1,34,5,1,early,16,91,10,0
v2,34,5,0,early,16,91,10,0
v2,34,5,1,early,16,91,10,0
v1,628,0,0,early,12,0,0,0
v1,628,0,1,early,12,0,0,0
v2,628,0,0,early,12,0,0,0
v2,628,0,1,early,12,0,0,0
v1,905,2,0,early,13,40,10,0
v1,905,2,1,early,13,40,10,0
v2,905,2,0,early,13,40,10,0
v2,905,2,1,early,13,40,10,0
v1,269,6,0,early,16,109,9,0
v1,269,6,1,early,16,109,9,0
v2,269,6,0,early,16,109,9,0
v2,269,6,1,early,16,109,9,0
v1,474,2,0,early,16,45,9,0
v1,474,2,1,early,16,45,9,0
v2,474,2,0,early,16,45,9,0
v2,474,2,1,early,16,45,9,0
v1,561,0,0,early,11,0,0,0
v1,561,0,1,early,11,0,0,0
v2,561,0,0,early,11,0,0,0
v2,561,0,1,early,11,0,0,0
v1,580,6,0,early,12,120,5,0
v1,580,6,1,early,12,120,5,0
v2,580,6,0,early,12,120,5,0
v2,580,6,1,early,12,120,5,0
v1,355,0,0,early,16,0,0,0
v1,355,0,1,early,16,0,0,0
v2,355,0,0,early,16,0,0,0
v2,355,0,1,early,16,0,0,0
v1,15,1,0,early,16,20,2,0
v1,15,1,1,early,16,20,2,0
v2,15,1,0,early,16,20,2,0
v2,15,1,1,early,16,20,2,0
v1,81,1,0,early,16,20,5,0
v1,81,1,1,early,16,20,5,0
v2,81,1,0,early,16,20,5,0
v2,81,1,1,early,16,20,5,0
v1,765,6,0,early,11,113,11,0
v1,765,6,1,early,11,113,11,1
v2,765,6,0,early,11,113,11,0
v2,765,6,1,early,11,113,11,0
v1,1005,7,0,early,11,134,9,0
v1,1005,7,1,early,11,134,9,0
v2,1005,7,0,early,11,134,9,0
v2,1005,7,1,early,11,134,9,0
v1,315,4,0,early,16,77,13,0
v1,315,4,1,early,16,77,13,0
v2,315,4,0,early,16,77,13,0
v2,315,4,1,early,16,77,13,0
v1,974,5,0,early,10,99,10,0
v1,974,5,1,early,10,99,10,0
v2,974,5,0,early,10,99,10,0
v2,974,5,1,early,10,99,10,0
v1,310,3,0,early,16,61,12,0
v1,310,3,1,early,16,61,12,0
v2,310,3,0,early,16,61,12,0
v2,310,3,1,early,16,61,12,0
v1,324,2,0,early,16,42,8,0
v1,324,2,1,early,16,42,8,0
v2,324,2,0,early,16,42,8,0
v2,324,2,1,early,16,42,8,0
v1,819,2,0,early,11,46,9,0
v1,819,2,1,early,11,46,9,0
v2,819,2,0,early,11,46,9,0
v2,819,2,1,early,11,46,9,0
v1,621,2,0,early,11,41,7,0
v1,621,2,1,early,11,41,7,0
v2,621,2,0,early,11,41,7,0
v2,621,2,1,early,11,41,7,0
v1,777,5,0,early,11,102,5,0
v1,777,5,1,early,11,102,5,0
v2,777,5,0,early,11,102,5,0
v2,777,5,1,early,11,102,5,0
v1,522,3,0,early,14,64,6,1
v1,522,3,1,early,14,64,6,0
v2,522,3,0,early,14,64,6,0
v2,522,3,1,early,14,64,6,0
v1,664,0,0,early,12,0,0,0
v1,664,0,1,early,12,0,0,0
v2,664,0,0,early,12,0,0,0
v2,664,0,1,early,12,0,0,0
v1,927,8,0,early,11,144,7,1
v1,927,8,1,early,11,144,7,0
v2,927,8,0,early,11,144,7,0
v2,927,8,1,early,11,144,7,0
v1,711,6,0,early,11,108,8,0
v1,711,6,1,early,11,108,8,0
v2,711,6,0,early,11,108,8,0
v2,711,6,1,early,11,108,8,0
v1,818,5,0,early,10,99,6,0
v1,818,5,1,early,10,99,6,0
v2,818,5,0,early,10,99,6,0
v2,818,5,1,early,10,99,6,0
v1,979,6,0,early,15,114,9,0
v1,979,6,1,early,15,114,9,0
v2,979,6,0,early,15,114,9,0
v2,979,6,1,early,15,114,9,0
v1,717,1,0,early,11,20,4,0
v1,717,1,1,early,11,20,4,0
v2,717,1,0,early,11,20,4,0
v2,717,1,1,early,11,20,4,0
v1,277,0,0,early,16,0,0,0
v1,277,0,1,early,16,0,0,0
v2,277,0,0,early,16,0,0,0
v2,277,0,1,early,16,0,0,0
v1,912,6,0,early,14,114,10,0
v1,912,6,1,early,14,114,10,0
v2,912,6,0,early,14,114,10,0
v2,912,6,1,early,14,114,10,0
v1,105,7,0,early,16,133,10,0
v1,105,7,1,early,16,133,10,0
v2,105,7,0,early,16,133,10,0
v2,105,7,1,early,16,133,10,0
v1,521,7,0,early,13,134,10,0
v1,521,7,1,early,13,134,10,0
v2,521,7,0,early,13,134,10,0
v2,521,7,1,early,13,134,10,0
v1,132,6,0,early,16,104,10,0
v1,132,6,1,early,16,104,10,0
v2,132,6,0,early,16,104,10,0
v2,132,6,1,early,16,104,10,0
v1,1014,6,0,early,14,112,13,0
v1,1014,6,1,early,14,112,13,0
v2,1014,6,0,early,14,112,13,0
v2,1014,6,1,early,14,112,13,0
v1,571,0,0,early,15,0,0,0
v1,571,0,1,early,15,0,0,0
v2,571,0,0,early,15,0,0,0
v2,571,0,1,early,15,0,0,0
v1,974,3,0,early,10,62,10,0
v1,974,3,1,early,10,62,10,0
v2,974,3,0,early,10,62,10,0
v2,974,3,1,early,10,62,10,0
v1,815,3,0,early,13,60,9,1
v1,815,3,1,early,13,60,9,0
v2,815,3,0,early,13,60,9,0
v2,815,3,1,early,13,60,9,0
v1,882,3,0,early,14,62,8,1
v1,882,3,1,early,14,62,8,0
v2,882,3,0,early,14,62,8,0
v2,882,3,1,early,14,62,8,0
v1,784,8,0,early,12,146,8,0
v1,784,8,1,early,12,146,8,0
v2,784,8,0,early,12,146,8,0
v2,784,8,1,early,12,146,8,0
v1,516,8,0,early,14,142,11,0
v1,516,8,1,early,14,142,11,0
v2,516,8,0,early,14,142,11,0
v2,516,8,1,early,14,142,11,0
v1,791,6,0,early,13,118,5,0
v1,791,6,1,early,13,118,5,0
v2,791,6,0,early,13,118,5,0
v2,791,6,1,early,13,118,5,0
v1,761,2,0,early,13,45,5,0
v1,761,2,1,early,13,45,5,0
v2,761,2,0,early,13,45,5,0
v2,761,2,1,early,13,45,5,0
v1,203,0,0,early,16,0,0,0
v1,203,0,1,early,16,0,0,0
v2,203,0,0,early,16,0,0,0
v2,203,0,1,early,16,0,0,0
v1,313,5,0,early,16,93,12,0
v1,313,5,1,early,16,93,12,0
v2,313,5,0,early,16,93,12,0
v2,313,5,1,early,16,93,12,0
v1,143,5,0,early,16,100,6,1
v1,143,5,1,early,16,100,6,0
v2,143,5,0,early,16,100,6,0
v2,143,5,1,early,16,100,6,0
v1,407,0,0,early,16,0,0,0
v1,407,0,1,early,16,0,0,0
v2,407,0,0,early,16,0,0,0
v2,407,0,1,early,16,0,0,0
v1,614,7,0,early,10,135,6,0
v1,614,7,1,early,10,135,6,0
v2,614,7,0,early,10,135,6,0
v2,614,7,1,early,10,135,6,0
v1,391,2,0,early,16,47,12,0
v1,391,2,1,early,16,47,12,0
v2,391,2,0,early,16,47,12,0
v2,391,2,1,early,16,47,12,0
v1,98,4,0,early,16,79,12,0
v1,98,4,1,early,16,79,12,0
v2,98,4,0,early,16,79,12,0
v2,98,4,1,early,16,79,12,0
v1,753,3,0,early,11,61,4,0
v1,753,3,1,early,11,61,4,0
v2,753,3,0,early,11,61,4,0
v2,753,3,1,early,11,61,4,0
v1,766,5,0,early,12,98,5,0
v1,766,5,1,early,12,98,5,0
v2,766,5,0,early,12,98,5,0
v2,766,5,1,early,12,98,5,0
v1,513,2,0,early,11,42,9,0
v1,513,2,1,early,11,42,9,0
v2,513,2,0,early,11,42,9,0
v2,513,2,1,early,11,42,9,0
v1,272,5,0,early,16,103,11,0
v1,272,5,1,early,16,103,11,0
v2,272,5,0,early,16,103,11,0
v2,272,5,1,early,16,103,11,0
v1,961,5,0,early,15,94,11,1
v1,961,5,1,early,15,94,11,0
v2,961,5,0,early,15,94,11,0
v2,961,5,1,early,15,94,11,0
v1,885,3,0,early,11,62,6,0
v1,885,3,1,early,11,62,6,1
v2,885,3,0,early,11,62,6,0
v2,885,3,1,early,11,62,6,0
v1,171,1,0,early,16,20,4,0
v1,171,1,1,early,16,20,4,0
v2,171,1,0,early,16,20,4,0
v2,171,1,1,early,16,20,4,0
v1,561,7,0,early,11,135,9,0
v1,561,7,1,early,11,135,9,0
v2,561,7,0,early,11,135,9,0
v2,561,7,1,early,11,135,9,0
v1,914,2,0,early,10,45,3,0
v1,914,2,1,early,10,45,3,0
v2,914,2,0,early,10,45,3,0
v2,914,2,1,early,10,45,3,0
v1,1019,4,0,early,13,81,7,0
