id,variant,total,cleared,virtual_time_s,seconds_per_source,runtime_s,full_clear,audit_passed,error,nodes,completion_reason,baseline_exact_match,distance_m,measures,switches,clear_attempts,fallbacks,refresh_calls,route_changes,scene_hash,discovery_s,active_localization_s,diagnostic_s,optical_fallback_s,certified_clear_s
10,A,12,12,3593.325182,299.44376516666665,0.615383299998939,True,True,,7,coverage_exhausted,True,14101.625915183638,120,113,12,0,0,0,41dfa35ea467e2ff2215c895dc30ba18c739f274bd8d523ad02f07f5e4359f70,1875.995932,1354.9677110000002,0.0,0.0,362.3615389999998
10,B,12,12,3263.618841,271.96823675,0.5486327000107849,True,True,,7,coverage_exhausted,,12288.094191188551,125,121,12,0,14,1,41dfa35ea467e2ff2215c895dc30ba18c739f274bd8d523ad02f07f5e4359f70,1606.4352730000003,1084.057425,0.0,0.0,573.1261429999997
11,A,16,16,4866.837911,304.1773694375,0.92046899998968,True,True,,7,coverage_exhausted,True,21034.189570212064,98,90,16,0,0,0,f863f128cc72104807273ce48dfc824ef683523ea562c27a6b8a3ad6e4c84b64,1820.3388670000006,2485.5697069999997,0.0,0.0,560.9293369999995
11,B,16,16,3906.942305,244.1838940625,0.8445317000005161,True,True,,7,coverage_exhausted,,15919.711542128749,108,103,16,0,28,5,f863f128cc72104807273ce48dfc824ef683523ea562c27a6b8a3ad6e4c84b64,1472.2825479999995,1713.036103,0.0,0.0,721.6236540000006
12,A,13,13,3494.092434,268.7763410769231,0.5848483000008855,True,True,,7,coverage_exhausted,True,13850.462167241449,107,103,20,1,0,0,588674ca944058cdc3d7c8e45aed45099320ad4f60599bf9bac5a2cbc7fcb719,1606.4141300000003,1007.3878569999996,0.0,396.2957940000001,483.99465300000014
12,B,13,13,3404.645456,261.89580430769234,0.6275583999959053,True,True,,7,coverage_exhausted,,13263.227285945733,115,112,13,0,22,2,588674ca944058cdc3d7c8e45aed45099320ad4f60599bf9bac5a2cbc7fcb719,1298.5889339999997,1199.6154069999998,0.0,0.0,906.441115000001
13,A,11,11,4089.391925,371.7629022727273,0.632912100001704,True,True,,7,coverage_exhausted,True,16846.959637479933,112,105,11,0,0,0,1d5d09c4bdd8d327099dea554f68943fcc38bdb1c2f8f57fb7988c158fc16dca,2251.2147219999997,1406.1381200000003,0.0,0.0,432.0390829999998
13,B,11,11,3335.619838,303.2381670909091,0.600873400006094,True,True,,7,coverage_exhausted,,12973.099188020662,115,111,11,0,20,3,1d5d09c4bdd8d327099dea554f68943fcc38bdb1c2f8f57fb7988c158fc16dca,1716.1492889999997,1379.6663129999995,0.0,0.0,239.80423600000086
14,A,11,11,4478.925691,407.17506281818186,0.6615995000029216,True,True,,7,coverage_exhausted,True,18824.628475727062,111,104,11,0,0,0,0db360d9b3db69ff5bcc8f2c1ac2fc06d0b8693d4f2768eba4ffd4237b1d630e,2290.676633,1819.3623200000004,0.0,0.0,368.8867379999997
14,B,11,11,3852.760456,350.25095054545454,0.5515125000092667,True,True,,7,coverage_exhausted,,15443.802286082111,119,114,11,0,22,3,0db360d9b3db69ff5bcc8f2c1ac2fc06d0b8693d4f2768eba4ffd4237b1d630e,1977.3822440000004,1375.641724,0.0,0.0,499.7364879999995
15,A,14,14,4543.700496,324.55003542857145,0.9042810000100872,True,True,,7,coverage_exhausted,True,18898.50247969418,117,109,14,0,0,0,afb2d6efc846363f274250e27d2c49bd55bd647a273e3f88457b1ce7f2c17c77,1781.0318520000005,2418.10744,0.0,0.0,344.5612039999999
15,B,14,14,3860.996174,275.785441,0.7236219999904279,True,True,,7,coverage_exhausted,,15264.980879405239,124,118,14,0,21,1,afb2d6efc846363f274250e27d2c49bd55bd647a273e3f88457b1ce7f2c17c77,1655.9402660000003,1529.4418599999997,0.0,0.0,675.6140479999999
16,A,11,11,3939.755961,358.1596328181818,0.561448599997675,True,True,,7,coverage_exhausted,True,16348.779809929754,104,95,11,0,0,0,04f4649cb23bee5915379823fbdd16b0ec8a0708688d122ccfece7def53c2088,1730.528936,1634.5773219999999,0.0,0.0,574.6497029999999
16,B,11,11,3199.381669,290.852879,0.5252761000010651,True,True,,7,coverage_exhausted,,12096.908360377107,122,115,11,0,16,2,04f4649cb23bee5915379823fbdd16b0ec8a0708688d122ccfece7def53c2088,1159.0265679999998,1360.855971,0.0,0.0,679.49913
17,A,11,11,3634.448293,330.40439027272726,0.6777537000016309,True,True,,7,coverage_exhausted,True,15032.241464697794,97,88,11,0,0,0,8c19109cda6afbdecb3300d947fcaac1acdbc0617cec5bebee038cd23ebe5075,1947.7422139999999,1225.959196,0.0,0.0,460.74688299999997
17,B,11,11,3234.490155,294.04455954545455,0.5074613999895519,True,True,,7,coverage_exhausted,,12562.450759691723,112,107,11,0,24,3,8c19109cda6afbdecb3300d947fcaac1acdbc0617cec5bebee038cd23ebe5075,1724.3845429999997,1156.417558000001,0.0,0.0,353.6880539999994
18,A,12,12,3832.014384,319.334532,0.7096313000074588,True,True,,7,coverage_exhausted,True,15730.071931178856,106,96,12,0,0,0,9328785521cb5860acc9689f43db31276be95dbf30b3fffc9e7719665b0c7ed1,1660.9285520000003,1816.190262,0.0,0.0,354.89556999999985
18,B,12,12,3447.571628,287.2976356666667,0.6741990000009537,True,True,,7,coverage_exhausted,,13432.858141459457,118,111,12,0,27,4,9328785521cb5860acc9689f43db31276be95dbf30b3fffc9e7719665b0c7ed1,1260.192609,1630.7746140000004,0.0,0.0,556.6044049999998
19,A,11,11,3290.34211,299.12201,0.7633511999883922,True,True,,7,coverage_exhausted,True,12671.71054610609,118,111,11,0,0,0,56d22885b2dd37fd5db85f2deafc67e71f530982da359778e261482b4ef86dfa,1249.8289129999998,1686.2526049999997,0.0,0.0,354.2605920000007
19,B,11,11,3183.028846,289.36625872727274,0.7545437999942806,True,True,,7,coverage_exhausted,,11885.14421888682,126,121,11,0,23,1,56d22885b2dd37fd5db85f2deafc67e71f530982da359778e261482b4ef86dfa,1179.056725,1580.5450480000004,0.0,0.0,423.4270729999998
20,A,13,13,4175.512871,321.19329776923075,1.0384884999948554,True,True,,7,coverage_exhausted,True,17847.56436131474,92,81,13,0,0,0,db00622a704939ba6e69b1227099199bd11f4cff215ed8bc432b01d1f9401a15,1918.805103,1961.7521369999995,0.0,0.0,294.95563100000055
20,B,13,13,3563.370988,274.10546061538463,1.3511910999950487,True,True,,7,coverage_exhausted,,14341.854939177372,106,100,13,0,28,3,db00622a704939ba6e69b1227099199bd11f4cff215ed8bc432b01d1f9401a15,1224.1343900000002,1605.400283,0.0,0.0,733.836315
21,A,12,12,3971.104079,330.9253399166667,0.819315300002927,True,True,,7,coverage_exhausted,True,16225.52040624501,112,106,12,0,0,0,afbc7d9e6299ea1f7ec6ad371b9d2a966fc96dbad5f5b501b9e126a2cabe790f,1616.6250459999997,1733.945720000001,0.0,0.0,620.5333129999995
21,B,12,12,5203.250518,433.6042098333333,0.8342429000040283,True,True,,7,coverage_exhausted,,20526.252545924213,115,112,129,1,24,3,afbc7d9e6299ea1f7ec6ad371b9d2a966fc96dbad5f5b501b9e126a2cabe790f,1625.3766460000002,1214.8384920000003,0.0,1803.8159459999997,559.2194339999999
22,A,11,11,3816.709988,346.9736352727273,0.7918824999942444,True,True,,7,coverage_exhausted,True,15283.549928336975,118,115,11,0,0,0,3d88530dfe837441215ceb9fd1e3607965c7839f7d834d01ba068b7b5c4df5ca,1988.7676389999997,1427.782981,0.0,0.0,400.1593680000005
22,B,11,11,2972.028998,270.18445436363635,0.6825233999988995,True,True,,7,coverage_exhausted,,11060.144984453396,118,115,11,0,17,2,3d88530dfe837441215ceb9fd1e3607965c7839f7d834d01ba068b7b5c4df5ca,1342.499131,1100.559912,0.0,0.0,528.9699549999998
23,A,10,10,3626.790925,362.67909249999997,0.8462777999957325,True,True,,7,coverage_exhausted,True,14768.954629391403,105,98,10,0,0,0,c8a91e008e1d21b3aa1c0f3a91fbd301f7c75777e77c7360248262cafb41e419,1575.5202429999995,1780.4048580000006,0.0,0.0,270.8658239999997
23,B,10,10,3182.704543,318.2704543,0.7772797999932664,True,True,,7,coverage_exhausted,,12328.522707791897,112,107,10,0,21,4,c8a91e008e1d21b3aa1c0f3a91fbd301f7c75777e77c7360248262cafb41e419,1401.572714,1110.3561279999994,0.0,0.0,670.7757010000005
24,A,11,11,3805.053946,345.9139950909091,0.7724331000063103,True,True,,7,coverage_exhausted,True,15270.269718546491,117,111,11,0,0,0,4601e34f57965a7d5b783daabcc6cd90e874f5234af5cb5b9db5dcf846976691,2003.6260160000004,1256.5061769999988,0.0,0.0,544.9217530000008
24,B,11,11,3420.001784,310.9092530909091,0.6969450000033248,True,True,,7,coverage_exhausted,,13075.00891173779,126,120,11,0,21,2,4601e34f57965a7d5b783daabcc6cd90e874f5234af5cb5b9db5dcf846976691,1408.0231009999995,1613.7511610000001,0.0,0.0,398.2275220000006
25,A,11,11,3091.099963,281.0090875454546,0.6850893999944674,True,True,,7,coverage_exhausted,True,11935.499823456988,109,104,11,0,0,0,fb3aa9930f13c02cfa1364fa3fd56c4aee4869a0cd3467812be1750a4aa5ada1,1459.4159869999999,1159.6343520000003,0.0,0.0,472.04962399999994
25,B,11,11,3039.081962,276.28017836363637,0.5877405000064755,True,True,,7,coverage_exhausted,,11400.409803954974,118,114,11,0,23,1,fb3aa9930f13c02cfa1364fa3fd56c4aee4869a0cd3467812be1750a4aa5ada1,1261.4689200000007,1276.471128,0.0,0.0,501.14191399999964
26,A,15,15,4064.153154,270.9435436,0.888470400008373,True,True,,7,coverage_exhausted,True,17350.76577161239,88,79,15,0,0,0,e4a1ee5bd27a5aea3387a6857cfcbce9a1016fbd661967711c9cf205d344930c,1655.5385089999997,1846.439804,0.0,0.0,562.1748410000002
26,B,15,15,3191.52073,212.7680486666667,0.9772755000012694,True,True,,7,coverage_exhausted,,12437.603655168337,106,99,15,0,33,3,e4a1ee5bd27a5aea3387a6857cfcbce9a1016fbd661967711c9cf205d344930c,1013.0502489999997,1801.1753330000006,0.0,0.0,377.2951480000001
27,A,13,13,3907.588416,300.5837243076923,1.1557279999979073,True,True,,7,coverage_exhausted,True,16152.942074109415,104,92,13,0,0,0,09be668c885b98a5803b3ad63945ed2158255b6c82159400beb3bfae948e1cff,1683.2961849999997,1689.965458,0.0,0.0,534.3267730000003
27,B,13,13,4438.698398,341.43833830769233,0.9267235000006622,True,True,,7,coverage_exhausted,,17348.49200342175,106,101,104,1,24,3,09be668c885b98a5803b3ad63945ed2158255b6c82159400beb3bfae948e1cff,1205.4067310000005,1153.3859319999995,0.0,1586.1097870000003,493.7959480000003
28,A,15,15,3900.048131,260.00320873333334,1.0373723999946378,True,True,,7,coverage_exhausted,True,16075.24064336188,103,95,15,0,0,0,4d3575e34289a2d99fcf88fdec75d95d3dd1a2bdb10519c2bbf98f9e5e5290ef,1302.9111220000002,1850.2480259999995,0.0,0.0,746.8889830000002
28,B,15,15,3709.055462,247.27036413333332,0.7966876999998931,True,True,,7,coverage_exhausted,,15140.277303308063,102,96,15,0,31,3,4d3575e34289a2d99fcf88fdec75d95d3dd1a2bdb10519c2bbf98f9e5e5290ef,1443.2561080000003,1564.292299,0.0,0.0,701.5070549999995
29,A,14,14,3956.240543,282.5886102142857,0.8584541000018362,True,True,,7,coverage_exhausted,True,16271.202727330701,107,97,14,0,0,0,244d87fc3886106bfc5d9e975eda8c13ec33b3266d4661da113bb37d50b4ea3c,1871.934258,1889.0346079999997,0.0,0.0,195.27167700000012
29,B,14,14,3967.611216,283.4008011428571,0.7925405999994837,True,True,,7,coverage_exhausted,,16098.056086362583,114,108,14,0,32,1,244d87fc3886106bfc5d9e975eda8c13ec33b3266d4661da113bb37d50b4ea3c,1555.0665739999993,1837.4310489999996,0.0,0.0,575.113593000001
30,A,14,14,4450.410654,317.8864752857143,0.8192200000048615,True,True,,7,coverage_exhausted,True,19122.053282062014,94,86,14,0,0,0,a936f5456dc9f91d09a4b4506057b67702368fc594a3dc9ba3aa180545562183,1858.7916500000006,2093.8655039999994,0.0,0.0,497.7535000000002
30,B,14,14,3518.074952,251.291068,0.7885319999913918,True,True,,7,coverage_exhausted,,14240.374748693826,101,95,14,0,33,4,a936f5456dc9f91d09a4b4506057b67702368fc594a3dc9ba3aa180545562183,1194.4608419999997,1705.720817,0.0,0.0,617.8932930000001
31,A,14,14,4485.330654,320.380761,0.9007410000049276,True,True,,7,coverage_exhausted,True,18876.653283397794,108,100,14,0,0,0,c82433c6aad2ff058885cf11fe2e165d21b4ee2294dd6b431c974170ba7ef9bd,2176.729712,1927.2474140000013,0.0,0.0,381.353527999999
31,B,14,14,4124.786772,294.6276265714286,0.7886075999995228,True,True,,7,coverage_exhausted,,16948.933866782903,112,105,14,0,31,3,c82433c6aad2ff058885cf11fe2e165d21b4ee2294dd6b431c974170ba7ef9bd,1920.2035899999996,1702.7077960000008,0.0,0.0,501.8753859999999
