time_s,temperature_C,moisture_kg_kg
12840,50.108,0.04984
12900,50.119,0.05024
12960,49.816,0.04998
13020,49.812,0.05014
13080,50.214,0.05007
13140,49.949,0.05004
13200,49.9,0.04982
13260,49.994,0.05022
13320,50.081,0.0499
13380,50.228,0.05004
13440,49.893,0.0501
13500,50.212,0.05007
13560,49.762,0.05022
13620,50.028,0.04982
13680,50.067,0.05
13740,49.803,0.04995
13800,49.82,0.04999
13860,49.96,0.04981
13920,50.233,0.04982
13980,50.048,0.04989
14040,50.217,0.0499
14100,50.152,0.04996
14160,49.984,0.05006
14220,50.142,0.05007
14280,49.759,0.04996
14340,49.805,0.04995
14400,50.165,0.04986
